"threshold","pct_flagged","covW_flagged","covW_unflagged","separation"
1,0.312,0.999,0.909,-0.09
1.25,0.384,0.998,0.9,-0.098
1.5,0.45,0.994,0.891,-0.103
1.75,0.512,0.989,0.883,-0.106
2,0.57,0.984,0.876,-0.108
2.25,0.622,0.979,0.869,-0.109
2.5,0.667,0.973,0.867,-0.106
2.75,0.708,0.968,0.864,-0.104
3,0.742,0.964,0.862,-0.102
3.25,0.772,0.961,0.858,-0.103
3.5,0.799,0.957,0.858,-0.1
3.75,0.822,0.955,0.857,-0.098
4,0.843,0.952,0.858,-0.094
